timestamp,event_type,count,time_between_opens,door_open_duration
2025-03-31 11:16:53,opened,0,32.80,0.00
2025-03-31 11:16:56,closed,1,32.80,2.43
2025-03-31 11:17:25,opened,1,28.95,0.00
2025-03-31 11:17:25,closed,2,28.95,0.49
2025-03-31 11:20:15,opened,2,170.12,0.00
2025-03-31 11:20:21,closed,3,170.12,6.62
2025-03-31 11:20:41,opened,3,19.49,0.00
2025-03-31 11:20:43,closed,4,19.49,2.71
2025-03-31 11:21:17,opened,4,33.68,0.00
2025-03-31 11:21:20,closed,5,33.68,2.98
2025-03-31 11:22:01,opened,5,40.98,0.00
2025-03-31 11:22:05,closed,6,40.98,4.05
2025-03-31 11:22:30,opened,6,24.39,0.00
2025-03-31 11:22:32,closed,7,24.39,2.37
2025-03-31 11:30:05,opened,7,453.43,0.00
2025-03-31 11:30:14,closed,8,453.43,8.79
2025-03-31 11:45:48,opened,8,933.85,0.00
2025-03-31 11:45:49,closed,9,933.85,1.44
2025-03-31 11:48:52,opened,9,182.39,0.00
2025-03-31 11:48:54,closed,10,182.39,1.71
2025-03-31 11:50:10,opened,10,76.87,0.00
2025-03-31 11:50:17,closed,11,76.87,6.23
2025-03-31 11:58:09,opened,11,472.64,0.00
2025-03-31 11:58:12,closed,12,472.64,2.66
2025-03-31 11:58:41,opened,12,28.88,0.00
2025-03-31 11:58:55,closed,13,28.88,13.78
2025-03-31 12:03:43,opened,13,288.91,0.00
2025-03-31 12:03:51,closed,14,288.91,7.55
2025-03-31 12:10:20,opened,14,389.17,0.00
2025-03-31 12:10:33,closed,15,389.17,12.56
2025-03-31 12:19:18,opened,15,525.28,0.00
2025-03-31 12:19:21,closed,16,525.28,2.80
2025-03-31 12:20:58,opened,16,96.86,0.00
2025-03-31 12:21:00,closed,17,96.86,2.41
2025-03-31 12:21:51,opened,17,50.50,0.00
2025-03-31 12:21:56,closed,18,50.50,5.25
2025-03-31 12:28:20,opened,18,383.68,0.00
2025-03-31 12:28:23,closed,19,383.68,3.27
2025-03-31 12:30:38,opened,19,134.86,0.00
2025-03-31 12:30:46,closed,20,134.86,8.12
2025-03-31 12:40:37,opened,20,591.49,0.00
2025-03-31 12:40:39,closed,21,591.49,1.46
2025-03-31 12:43:27,opened,21,168.19,0.00
2025-03-31 12:43:33,closed,22,168.19,5.66
2025-03-31 12:46:54,opened,22,200.94,0.00
2025-03-31 12:46:56,closed,23,200.94,2.35
2025-03-31 12:53:47,opened,23,410.93,0.00
2025-03-31 12:53:50,closed,24,410.93,3.31
2025-03-31 12:54:24,opened,24,33.58,0.00
2025-03-31 12:54:26,closed,25,33.58,2.64
2025-03-31 13:12:10,opened,25,1063.84,0.00
2025-03-31 13:12:14,closed,26,1063.84,3.33
2025-03-31 13:18:23,opened,26,369.78,0.00
2025-03-31 13:18:25,closed,27,369.78,2.04
2025-03-31 13:49:37,opened,27,1871.58,0.00
2025-03-31 13:49:51,closed,28,1871.58,13.98
2025-03-31 13:53:06,opened,28,194.66,0.00
2025-03-31 13:53:07,closed,29,194.66,1.74
2025-03-31 13:54:46,opened,29,99.15,0.00
2025-03-31 13:54:48,closed,30,99.15,1.82
2025-03-31 13:55:11,opened,30,23.21,0.00
2025-03-31 13:55:18,closed,31,23.21,6.83
2025-03-31 13:58:46,opened,31,207.57,0.00
2025-03-31 13:58:53,closed,32,207.57,6.67
2025-03-31 14:04:55,opened,32,362.92,0.00
2025-03-31 14:04:58,closed,33,362.92,2.38
2025-03-31 14:11:39,opened,33,401.36,0.00
2025-03-31 14:11:51,closed,34,401.36,11.81
2025-03-31 14:12:21,opened,34,30.25,0.00
2025-03-31 14:12:28,closed,35,30.25,6.35
2025-03-31 14:14:39,opened,35,131.63,0.00
2025-03-31 14:14:43,closed,36,131.63,3.44
2025-03-31 14:18:46,opened,36,243.19,0.00
2025-03-31 14:19:10,closed,37,243.19,23.83
2025-03-31 14:22:44,opened,37,214.25,0.00
2025-03-31 14:22:44,closed,38,214.25,0.47
2025-03-31 14:25:47,opened,38,182.16,0.00
2025-03-31 14:25:49,closed,39,182.16,2.88
2025-03-31 14:28:06,opened,39,136.46,0.00
2025-03-31 14:28:09,closed,40,136.46,3.39
2025-03-31 14:30:41,opened,40,151.48,0.00
2025-03-31 14:31:07,closed,41,151.48,25.97
2025-03-31 14:32:06,opened,41,59.43,0.00
2025-03-31 14:32:08,closed,42,59.43,1.65
2025-03-31 14:34:00,opened,42,112.59,0.00
2025-03-31 14:34:02,closed,43,112.59,1.79
2025-03-31 14:35:43,opened,43,100.81,0.00
2025-03-31 14:35:57,closed,44,100.81,14.00
2025-03-31 14:37:07,opened,44,69.98,0.00
2025-03-31 14:37:23,closed,45,69.98,16.17
2025-03-31 14:37:56,opened,45,33.13,0.00
2025-03-31 14:38:01,closed,46,33.13,4.96
2025-03-31 14:39:11,opened,46,69.95,0.00
2025-03-31 14:39:14,closed,47,69.95,2.97
2025-03-31 14:57:18,opened,47,1084.27,0.00
2025-03-31 14:57:32,closed,48,1084.27,13.11
2025-03-31 14:59:26,opened,48,114.57,0.00
2025-03-31 14:59:32,closed,49,114.57,6.31
2025-03-31 15:03:43,opened,49,250.10,0.00
2025-03-31 15:04:24,closed,50,250.10,41.45
2025-03-31 15:04:58,opened,50,34.36,0.00
2025-03-31 15:05:06,closed,51,34.36,7.48
2025-03-31 15:05:21,opened,51,15.19,0.00
2025-03-31 15:05:24,closed,52,15.19,2.48
2025-03-31 15:08:03,opened,52,159.33,0.00
2025-03-31 15:08:04,closed,53,159.33,0.79
2025-03-31 15:08:22,opened,53,18.41,0.00
2025-03-31 15:08:33,closed,54,18.41,11.29
2025-03-31 15:15:49,opened,54,435.49,0.00
2025-03-31 15:15:54,closed,55,435.49,5.48
2025-03-31 15:20:30,opened,55,276.02,0.00
2025-03-31 15:20:33,closed,56,276.02,2.41
2025-03-31 15:28:35,opened,56,482.26,0.00
2025-03-31 15:28:38,closed,57,482.26,3.15
2025-03-31 15:31:37,opened,57,179.12,0.00
2025-03-31 15:31:40,closed,58,179.12,2.80
2025-03-31 16:06:17,opened,58,2077.05,0.00
2025-03-31 16:06:21,closed,59,2077.05,3.82
2025-03-31 16:07:43,opened,59,82.45,0.00
2025-03-31 16:07:47,closed,60,82.45,3.44
2025-03-31 16:08:09,opened,60,22.24,0.00
2025-03-31 16:08:13,closed,61,22.24,3.49
2025-03-31 16:11:43,opened,61,210.63,0.00
2025-03-31 16:11:47,closed,62,210.63,3.96
2025-03-31 16:12:31,opened,62,44.31,0.00
2025-03-31 16:12:35,closed,63,44.31,3.47
2025-03-31 16:23:09,opened,63,634.16,0.00
2025-03-31 16:23:14,closed,64,634.16,4.76
2025-03-31 16:24:24,opened,64,70.65,0.00
2025-03-31 16:24:30,closed,65,70.65,5.26
2025-03-31 16:24:50,opened,65,20.15,0.00
2025-03-31 16:24:53,closed,66,20.15,2.73
2025-03-31 16:27:23,opened,66,150.59,0.00
2025-03-31 16:27:45,closed,67,150.59,21.43
2025-03-31 16:28:11,opened,67,25.96,0.00
2025-03-31 16:28:14,closed,68,25.96,3.07
2025-03-31 17:06:20,opened,68,2286.40,0.00
2025-03-31 17:06:22,closed,69,2286.40,1.83
2025-03-31 17:06:24,opened,69,2.36,0.00
2025-03-31 17:06:30,closed,70,2.36,5.57
2025-03-31 17:06:34,opened,70,3.70,0.00
2025-03-31 17:06:54,closed,71,3.70,20.76
